image_id,file_name,split,damage_count,total_damage_area,dominant_damage,has_dent,has_scratch,has_crack,has_glass_shatter,has_lamp_broken,has_tire_flat
1,000001.jpg,train2017,2,312326.0,tire flat,0,1,0,0,0,1
2,000002.jpg,train2017,1,114126.0,tire flat,0,0,0,0,0,1
3,000003.jpg,train2017,1,299792.0,tire flat,0,0,0,0,0,1
4,000004.jpg,train2017,1,383763.0,tire flat,0,0,0,0,0,1
5,000005.jpg,train2017,1,258456.0,tire flat,0,0,0,0,0,1
6,000006.jpg,train2017,1,338758.0,tire flat,0,0,0,0,0,1
7,000007.jpg,train2017,1,68661.0,tire flat,0,0,0,0,0,1
8,000008.jpg,train2017,7,92427.0,tire flat,0,0,1,0,0,1
9,000009.jpg,train2017,4,89987.0,tire flat,1,1,0,0,0,1
10,000010.jpg,train2017,1,137725.0,tire flat,0,0,0,0,0,1
11,000011.jpg,train2017,1,232817.0,tire flat,0,0,0,0,0,1
14,000014.jpg,train2017,4,94409.0,tire flat,1,1,0,0,0,1
18,000018.jpg,train2017,3,22042.0,scratch,0,1,0,0,0,0
19,000019.jpg,train2017,1,138968.0,scratch,0,1,0,0,0,0
20,000020.jpg,train2017,3,44096.0,scratch,0,1,0,0,0,0
21,000021.jpg,train2017,4,45294.0,scratch,0,1,0,0,0,0
22,000022.jpg,train2017,4,58372.0,scratch,0,1,1,0,0,0
26,000026.jpg,train2017,2,34719.0,scratch,0,1,0,0,0,0
27,000027.jpg,train2017,1,150959.0,scratch,0,1,0,0,0,0
28,000028.jpg,train2017,2,45320.0,dent,1,0,0,0,0,0
29,000029.jpg,train2017,3,234662.0,lamp broken,1,0,0,0,1,0
30,000030.jpg,train2017,1,239874.0,scratch,0,1,0,0,0,0
31,000031.jpg,train2017,3,126420.0,scratch,0,1,0,0,0,0
32,000032.jpg,train2017,1,11490.0,crack,0,0,1,0,0,0
36,000036.jpg,train2017,2,27833.0,scratch,0,1,0,0,0,0
37,000037.jpg,train2017,2,214190.0,tire flat,0,1,0,0,0,1
39,000039.jpg,train2017,5,121788.0,lamp broken,1,1,1,0,1,1
41,000041.jpg,train2017,1,354273.0,glass shatter,0,0,0,1,0,0
43,000043.jpg,train2017,4,36461.0,scratch,0,1,0,0,0,0
45,000045.jpg,train2017,5,30903.0,dent,1,1,1,0,0,0
46,000046.jpg,train2017,5,115470.0,scratch,0,1,0,0,0,0
48,000048.jpg,train2017,2,317220.0,glass shatter,1,0,0,1,0,0
49,000049.jpg,train2017,7,244866.0,scratch,0,1,1,0,1,1
50,000050.jpg,train2017,1,158549.0,scratch,0,1,0,0,0,0
51,000051.jpg,train2017,1,359988.0,glass shatter,0,0,0,1,0,0
52,000052.jpg,train2017,2,133329.0,lamp broken,0,1,0,0,1,0
53,000053.jpg,train2017,2,83362.0,tire flat,0,0,0,0,0,1
55,000055.jpg,train2017,1,143481.0,tire flat,0,0,0,0,0,1
56,000056.jpg,train2017,1,178507.0,tire flat,0,0,0,0,0,1
61,000061.jpg,train2017,1,286704.0,glass shatter,0,0,0,1,0,0
62,000062.jpg,train2017,3,72673.0,dent,1,0,0,0,1,0
63,000063.jpg,train2017,4,277226.0,lamp broken,1,1,0,0,1,0
64,000064.jpg,train2017,1,41920.0,scratch,0,1,0,0,0,0
65,000065.jpg,train2017,1,136743.0,scratch,0,1,0,0,0,0
66,000066.jpg,train2017,3,73715.0,dent,1,1,1,0,0,0
67,000067.jpg,train2017,1,86165.0,dent,1,0,0,0,0,0
68,000068.jpg,train2017,1,475770.0,glass shatter,0,0,0,1,0,0
69,000069.jpg,train2017,3,404216.0,dent,1,0,0,0,1,0
70,000070.jpg,train2017,2,42362.0,scratch,0,1,0,0,0,0
71,000071.jpg,train2017,2,174573.0,lamp broken,1,0,0,0,1,0
72,000072.jpg,train2017,1,31002.0,scratch,0,1,0,0,0,0
73,000073.jpg,train2017,2,188551.0,scratch,0,1,0,0,0,0
74,000074.jpg,train2017,2,310556.0,lamp broken,1,0,0,0,1,0
75,000075.jpg,train2017,1,110322.0,dent,1,0,0,0,0,0
76,000076.jpg,train2017,2,226005.0,dent,1,0,0,0,0,0
77,000077.jpg,train2017,1,155901.0,lamp broken,0,0,0,0,1,0
78,000078.jpg,train2017,2,169020.0,dent,1,0,0,0,1,0
79,000079.jpg,train2017,2,274791.0,dent,1,0,0,0,0,0
81,000081.jpg,train2017,2,99943.0,dent,1,0,0,0,1,0
85,000085.jpg,train2017,2,14473.0,dent,1,0,0,0,1,0
87,000087.jpg,train2017,5,173574.0,dent,1,1,1,0,0,0
92,000092.jpg,train2017,1,69316.0,dent,1,0,0,0,0,0
93,000093.jpg,train2017,3,133682.0,tire flat,1,0,0,0,0,1
94,000094.jpg,train2017,2,13693.0,lamp broken,1,0,0,0,1,0
95,000095.jpg,train2017,3,58555.0,dent,1,1,0,0,0,0
96,000096.jpg,train2017,7,64253.0,dent,1,1,1,0,0,0
98,000098.jpg,train2017,2,53649.0,dent,1,0,0,0,0,0
99,000099.jpg,train2017,3,377377.0,dent,1,0,0,0,1,0
100,000100.jpg,train2017,5,121710.0,lamp broken,0,0,1,0,1,0
101,000101.jpg,train2017,1,244960.0,dent,1,0,0,0,0,0
104,000104.jpg,train2017,1,101679.0,tire flat,0,0,0,0,0,1
108,000108.jpg,train2017,4,15825.0,lamp broken,1,0,1,0,1,0
111,000111.jpg,train2017,1,18583.0,scratch,0,1,0,0,0,0
112,000112.jpg,train2017,5,336617.0,dent,1,1,0,0,0,0
113,000113.jpg,train2017,2,145442.0,scratch,1,1,0,0,0,0
114,000114.jpg,train2017,1,7959.0,scratch,0,1,0,0,0,0
115,000115.jpg,train2017,2,22932.0,scratch,0,1,0,0,0,0
116,000116.jpg,train2017,3,78769.0,dent,1,1,0,0,0,0
117,000117.jpg,train2017,2,349863.0,dent,1,1,0,0,0,0
118,000118.jpg,train2017,6,213908.0,tire flat,1,1,0,0,0,1
119,000119.jpg,train2017,4,96367.0,dent,1,1,1,0,0,0
120,000120.jpg,train2017,1,117703.0,scratch,0,1,0,0,0,0
121,000121.jpg,train2017,2,174311.0,scratch,0,1,0,0,0,0
122,000122.jpg,train2017,2,42812.0,scratch,0,1,0,0,0,0
123,000123.jpg,train2017,1,323627.0,tire flat,0,0,0,0,0,1
124,000124.jpg,train2017,1,553903.0,tire flat,0,0,0,0,0,1
125,000125.jpg,train2017,1,185841.0,tire flat,0,0,0,0,0,1
126,000126.jpg,train2017,5,186106.0,tire flat,1,1,0,0,0,1
127,000127.jpg,train2017,3,126106.0,lamp broken,1,0,1,0,1,0
129,000129.jpg,train2017,6,56483.0,dent,1,1,1,0,0,0
131,000131.jpg,train2017,1,217143.0,scratch,0,1,0,0,0,0
132,000132.jpg,train2017,3,88509.0,dent,1,1,0,0,0,0
133,000133.jpg,train2017,2,144399.0,dent,1,1,0,0,0,0
134,000134.jpg,train2017,4,95067.0,tire flat,1,1,0,0,1,1
135,000135.jpg,train2017,3,276863.0,dent,1,1,0,0,0,0
138,000138.jpg,train2017,1,492004.0,glass shatter,0,0,0,1,0,0
139,000139.jpg,train2017,1,320006.0,glass shatter,0,0,0,1,0,0
140,000140.jpg,train2017,1,69917.0,glass shatter,0,0,0,1,0,0
141,000141.jpg,train2017,1,189370.0,lamp broken,0,0,0,0,1,0
142,000142.jpg,train2017,2,130290.0,lamp broken,1,0,0,0,1,0
143,000143.jpg,train2017,1,603212.0,glass shatter,0,0,0,1,0,0
144,000144.jpg,train2017,1,168975.0,glass shatter,0,0,0,1,0,0
145,000145.jpg,train2017,1,384718.0,lamp broken,0,0,0,0,1,0
147,000147.jpg,train2017,1,69694.0,scratch,0,1,0,0,0,0
148,000148.jpg,train2017,1,70201.0,scratch,0,1,0,0,0,0
150,000150.jpg,train2017,6,74561.0,dent,1,1,1,0,0,0
151,000151.jpg,train2017,1,122537.0,lamp broken,0,0,0,0,1,0
153,000153.jpg,train2017,4,110837.0,dent,1,0,1,0,1,0
154,000154.jpg,train2017,1,80396.0,glass shatter,0,0,0,1,0,0
155,000155.jpg,train2017,3,157604.0,lamp broken,1,1,0,0,1,0
158,000158.jpg,train2017,4,94214.0,dent,1,1,0,0,1,0
160,000160.jpg,train2017,6,55226.0,lamp broken,1,1,1,0,1,0
161,000161.jpg,train2017,3,347908.0,glass shatter,1,0,0,1,0,0
